Date,Time,Ecg (bps),Uv (mW/cm2),Gyro (Degree),Flex (Degrees),Fsr (mV),Strain  (mV),Pulse  (),SpO2
,,509,0.75,,55,,,,
,,569,0.72,,40,,,,
,,588,0.75,,155,,,,
,,483,0.75,,22,,,,
,,439,0.72,,68,,,,
,,521,0.75,,134,,,,
,,528,0.75,,24,,,,
,,428,0.75,,34,,,,
,,415,0.75,,139,,,,
,,517,0.75,,98,,,,
,,511,0.72,,15,,,,
,,412,0.75,,39,,,,
,,433,0.75,,151,,,,
,,533,0.72,,91,,,,
,,502,0.75,,24,,,,
,,412,0.75,,18,,,,
,,454,0.72,,73,,,,
,,538,0.75,,125,,,,
,,487,0.75,,53,,,,
,,414,0.75,,22,,,,
,,478,0.72,,26,,,,
,,545,0.75,,118,,,,
,,477,0.75,,59,,,,
,,423,0.72,,13,,,,
,,501,0.75,,84,,,,
,,547,0.72,,91,,,,
,,464,0.75,,26,,,,
,,428,0.75,,41,,,,
,,521,0.75,,98,,,,
,,543,0.75,,19,,,,
,,451,0.75,,38,,,,
,,438,0.78,,62,,,,
,,536,0.75,,151,,,,
,,534,0.75,,20,,,,
,,441,0.75,,88,,,,
,,454,0.72,,82,,,,
,,552,0.75,,26,,,,
,,525,0.75,,72,,,,
,,438,0.72,,74,,,,
,,471,0.75,,12,,,,
,,558,0.75,,137,,,,
,,512,0.75,,55,,,,
,,437,0.75,,15,,,,
,,495,0.75,,157,,,,
,,566,0.72,,35,,,,
,,498,0.75,,11,,,,
,,440,0.75,,130,,,,
,,516,0.75,,34,,,,
,,567,0.72,,33,,,,
,,483,0.75,,135,,,,
,,444,0.75,,13,,,,
,,534,0.75,,163,,,,
,,561,0.75,,16,,,,
,,468,0.75,,66,,,,
,,449,0.72,,33,,,,
,,546,0.75,,28,,,,
,,548,0.72,,147,,,,
,,453,0.72,,12,,,,
,,460,0.75,,137,,,,
,,557,0.75,,27,,,,
,,536,0.75,,67,,,,
,,447,0.72,,92,,,,
,,474,0.78,,16,,,,
,,565,0.75,,157,,,,
,,522,0.75,,21,,,,
,,446,0.75,,46,,,,
,,493,0.75,,159,,,,
,,568,0.75,,10,,,,
,,505,0.75,,105,,,,
,,441,0.75,,135,,,,
,,514,0.75,,22,,,,
,,571,0.75,,157,,,,
,,493,0.75,,84,,,,
,,449,0.75,,28,,,,
,,533,0.75,,104,,,,
,,566,0.75,,145,,,,
,,475,0.75,,35,,,,
,,452,0.75,,73,,,,
,,549,0.75,,125,,,,
,,556,0.75,,21,,,,
,,463,0.75,,73,,,,
,,466,0.75,,159,,,,
,,570,0.75,,26,,,,
,,556,0.75,,48,,,,
,,466,0.75,,115,,,,
,,495,0.75,,115,,,,
,,593,0.75,,29,,,,
,,559,0.75,,91,,,,
,,476,0.75,,172,,,,
,,518,0.75,,91,,,,
,,589,0.75,,24,,,,
,,523,0.75,,83,,,,
,,451,0.72,,113,,,,
,,517,0.75,,10,,,,
,,576,0.75,,149,,,,
,,497,0.75,,128,,,,
,,447,0.72,,12,,,,
,,531,0.75,,110,,,,
,,569,0.72,,179,,,,
,,482,0.75,,8,,,,
,,450,0.72,,7,,,,
,,530,0.75,,7,,,,
,,532,0.75,,8,,,,
,,456,0.75,,7,,,,
,,540,0.75,,7,,,,
,,830,0.72,,-3,,,,
,,1024,0.75,,-1,,,,
,,972,0.75,,4,,,,
,,768,0.75,,5,,,,
,,654,0.75,,3,,,,
,,530,0.75,,-1,,,,
,,450,0.75,,-1,,,,
,,522,0.75,,1,,,,
,,585,0.75,,1,,,,
,,504,0.75,,0,,,,
,,449,0.75,,1,,,,
,,529,0.75,,1,,,,
,,567,0.78,,1,,,,
,,478,0.75,,3,,,,
,,451,0.75,,1,,,,
,,548,0.75,,1,,,,
,,567,0.75,,2,,,,
,,475,0.75,,1,,,,
,,471,0.78,,3,,,,
,,572,0.75,,2,,,,
,,566,0.75,,1,,,,
,,475,0.75,,3,,,,
,,496,0.75,,3,,,,
,,595,0.75,,2,,,,
,,567,0.72,,3,,,,
,,483,0.75,,2,,,,
,,526,0.75,,2,,,,
,,615,0.75,,3,,,,
,,567,0.75,,3,,,,
,,500,0.75,,3,,,,
,,570,0.75,,2,,,,
,,643,0.72,,2,,,,
,,579,0.75,,1,,,,
,,532,0.75,,3,,,,
,,620,0.75,,3,,,,
,,675,0.75,,1,,,,
,,598,0.75,,2,,,,
,,573,0.75,,2,,,,
,,673,0.78,,2,,,,
,,705,0.78,,2,,,,
,,607,0.78,,3,,,,
,,595,0.78,,3,,,,
,,690,0.78,,3,,,,
,,677,0.78,,3,,,,
,,562,0.78,,2,,,,
,,552,0.78,,2,,,,
,,626,0.8,,3,,,,
,,576,0.83,,3,,,,
,,466,0.86,,3,,,,
,,486,0.86,,2,,,,
,,560,0.88,,2,,,,
,,500,0.91,,2,,,,
,,414,0.91,,2,,,,
,,470,0.91,,3,,,,
,,536,0.94,,2,,,,
,,466,0.94,,4,,,,
,,404,0.94,,3,,,,
,,485,0.94,,3,,,,
,,534,0.94,,3,,,,
,,450,0.94,,3,,,,
,,412,0.91,,4,,,,
,,506,0.91,,3,,,,
,,534,0.91,,3,,,,
,,442,0.91,,3,,,,
,,428,0.91,,3,,,,
,,530,0.91,,3,,,,
,,533,0.88,,3,,,,
,,437,0.91,,4,,,,
,,445,0.91,,3,,,,
,,544,0.91,,2,,,,
,,525,0.91,,4,,,,
,,436,0.91,,9,,,,
,,466,0.91,,53,,,,
,,555,0.91,,43,,,,
,,511,0.94,,75,,,,
,,436,0.94,,13,,,,
,,488,0.94,,112,,,,
,,566,0.91,,18,,,,
,,502,0.94,,51,,,,
,,441,0.94,,99,,,,
,,511,0.94,,15,,,,
,,566,0.97,,40,,,,
,,486,0.97,,135,,,,
,,445,0.94,,30,,,,
,,531,0.94,,3,,,,
,,562,0.94,,95,,,,
,,471,0.91,,149,,,,
,,450,0.91,,18,,,,
,,550,0.91,,58,,,,
,,556,0.91,,120,,,,
,,463,0.91,,10,,,,
,,464,0.91,,157,,,,
,,564,0.91,,12,,,,
,,548,0.91,,80,,,,
,,460,0.91,,110,,,,
,,487,0.91,,9,,,,
,,578,0.91,,113,,,,
,,535,0.88,,99,,,,
,,456,0.91,,44,,,,
,,504,0.88,,155,,,,
,,581,0.88,,26,,,,
,,519,0.88,,55,,,,
,,454,0.91,,145,,,,
,,522,0.88,,20,,,,
,,584,0.88,,46,,,,
,,508,0.88,,135,,,,
,,462,0.91,,10,,,,
,,544,0.88,,126,,,,
,,582,0.88,,98,,,,
,,495,0.88,,9,,,,
,,469,0.88,,161,,,,
,,566,0.88,,15,,,,
,,581,0.88,,5,,,,
,,488,0.91,,4,,,,
,,487,0.88,,4,,,,
,,586,0.88,,5,,,,
,,579,0.91,,5,,,,
,,486,0.88,,5,,,,
,,507,0.88,,3,,,,
,,603,0.91,,4,,,,
,,568,0.91,,5,,,,
,,481,0.91,,5,,,,
,,524,0.91,,5,,,,
,,606,0.91,,5,,,,
,,548,0.91,,3,,,,
,,477,0.91,,3,,,,
,,538,0.91,,6,,,,
,,605,0.91,,5,,,,
,,533,0.91,,5,,,,
,,482,0.91,,4,,,,
,,560,0.91,,5,,,,
,,600,0.91,,5,,,,
,,513,0.91,,4,,,,
,,483,0.91,,5,,,,
,,579,0.91,,5,,,,
,,598,0.91,,5,,,,
,,508,0.91,,4,,,,
,,506,0.91,,5,,,,
,,608,0.91,,5,,,,
,,609,0.91,,4,,,,
,,519,0.88,,4,,,,
,,534,0.91,,5,,,,
,,629,0.88,,5,,,,
,,597,0.91,,3,,,,
,,500,0.91,,5,,,,
,,529,0.88,,5,,,,
,,613,0.91,,5,,,,
,,561,0.91,,5,,,,
,,484,0.91,,4,,,,
,,538,0.88,,5,,,,
,,606,0.91,,4,,,,
,,537,0.88,,5,,,,
,,482,0.91,,18,,,,
,,560,0.88,,41,,,,
,,603,0.88,,73,,,,
,,500,0.88,,24,,,,
,,459,0.91,,94,,,,
,,586,0.91,,83,,,,
,,748,0.91,,22,,,,
,,882,0.91,,83,,,,
,,1024,0.91,,24,,,,
,,1024,0.91,,73,,,,
,,718,0.91,,145,,,,
,,522,0.91,,18,,,,
,,552,0.91,,7,,,,
,,609,0.91,,6,,,,
,,538,0.91,,5,,,,
,,485,0.91,,5,,,,
,,560,0.91,,4,,,,
,,595,0.91,,4,,,,
,,506,0.91,,5,,,,
,,474,0.91,,4,,,,
,,569,0.91,,5,,,,
,,586,0.91,,4,,,,
,,490,0.91,,4,,,,
,,483,0.91,,7,,,,
,,582,0.91,,3,,,,
,,579,0.91,,5,,,,
,,489,0.91,,4,,,,
,,508,0.88,,5,,,,
,,606,0.91,,5,,,,
,,581,0.88,,6,,,,
,,500,0.88,,4,,,,
,,542,0.91,,5,,,,
,,628,0.91,,4,,,,
,,585,0.91,,5,,,,
,,518,0.91,,5,,,,
,,583,0.91,,5,,,,
,,657,0.91,,5,,,,
,,595,0.94,,4,,,,
,,544,0.91,,5,,,,
,,628,0.94,,7,,,,
,,686,0.91,,5,,,,
,,612,0.94,,4,,,,
,,584,0.91,,5,,,,
,,685,0.91,,4,,,,
,,724,0.94,,5,,,,
,,633,0.94,,5,,,,
,,621,0.94,,4,,,,
,,726,0.94,,4,,,,
,,726,0.94,,4,,,,
,,617,0.94,,5,,,,
,,612,0.91,,4,,,,
,,691,0.94,,5,,,,
,,644,0.94,,4,,,,
,,525,0.91,,9,,,,
,,533,0.94,,66,,,,
,,603,0.91,,7,,,,
,,540,0.91,,112,,,,
,,447,0.91,,79,,,,
,,490,0.91,,20,,,,
,,558,0.94,,11,,,,
,,488,0.91,,42,,,,
,,426,0.91,,41,,,,
,,497,0.91,,5,,,,
,,546,0.94,,78,,,,
,,465,0.91,,8,,,,
,,422,0.94,,26,,,,
,,511,0.94,,118,,,,
,,540,0.94,,12,,,,
,,449,0.94,,18,,,,
,,433,0.94,,137,,,,
,,530,0.94,,8,,,,
,,536,0.91,,36,,,,
,,441,0.91,,120,,,,
,,446,0.94,,8,,,,
,,543,0.94,,84,,,,
,,525,0.91,,76,,,,
,,434,0.94,,2,,,,
,,460,0.91,,105,,,,
,,552,0.94,,36,,,,
,,510,0.91,,9,,,,
,,429,0.94,,130,,,,
,,478,0.94,,7,,,,
,,557,0.91,,54,,,,
,,495,0.91,,123,,,,
,,428,0.94,,9,,,,
,,498,0.91,,132,,,,
,,556,0.91,,123,,,,
,,480,0.94,,10,,,,
,,436,0.94,,9,,,,
,,521,0.91,,145,,,,
,,554,0.91,,92,,,,
,,462,0.94,,6,,,,
,,439,0.91,,67,,,,
,,533,0.91,,118,,,,
,,544,0.91,,16,,,,
,,450,0.94,,3,,,,
,,449,0.91,,17,,,,
,,545,0.91,,55,,,,
,,534,0.91,,94,,,,
,,440,0.91,,13,,,,
,,461,0.91,,12,,,,
,,556,0.91,,19,,,,
,,522,0.91,,94,,,,
,,439,0.91,,18,,,,
,,483,0.91,,2,,,,
,,565,0.91,,4,,,,
,,507,0.91,,4,,,,
,,439,0.88,,5,,,,
,,504,0.88,,4,,,,
,,566,0.91,,5,,,,
,,492,0.88,,4,,,,
,,442,0.88,,5,,,,
,,524,0.91,,5,,,,
,,564,0.88,,4,,,,
,,475,0.91,,5,,,,
,,448,0.91,,4,,,,
,,543,0.91,,5,,,,
,,561,0.91,,6,,,,
,,468,0.91,,5,,,,
,,460,0.91,,3,,,,
,,558,0.88,,4,,,,
,,550,0.88,,4,,,,
,,456,0.88,,6,,,,
,,469,0.88,,5,,,,
,,566,0.88,,6,,,,
,,535,0.88,,3,,,,
,,448,0.88,,5,,,,
,,487,0.88,,4,,,,
,,572,0.88,,4,,,,
,,520,0.88,,3,,,,
,,447,0.88,,4,,,,
,,507,0.86,,4,,,,
,,576,0.86,,3,,,,
,,506,0.86,,5,,,,
,,453,0.88,,3,,,,
,,534,0.86,,4,,,,
,,584,0.86,,3,,,,
,,506,0.88,,5,,,,
,,475,0.88,,4,,,,
,,566,0.88,,3,,,,
,,586,0.88,,4,,,,
,,487,0.86,,3,,,,
,,471,0.88,,5,,,,
,,562,0.86,,4,,,,
,,556,0.86,,3,,,,
,,463,0.88,,4,,,,
,,474,0.88,,4,,,,
,,569,0.88,,3,,,,
,,542,0.88,,3,,,,
,,453,0.88,,4,,,,
,,487,0.88,,5,,,,
,,576,0.88,,5,,,,
,,520,0.86,,5,,,,
,,427,0.86,,4,,,,
,,475,0.86,,4,,,,
,,584,0.88,,4,,,,
,,644,0.86,,5,,,,
,,808,0.86,,4,,,,
,,1024,0.86,,5,,,,
,,1024,0.86,,5,,,,
,,649,0.86,,5,,,,
,,529,0.86,,6,,,,
,,585,0.86,,5,,,,
,,550,0.86,,6,,,,
,,468,0.86,,4,,,,
,,504,0.86,,6,,,,
,,583,0.86,,4,,,,
,,525,0.86,,5,,,,
,,452,0.88,,4,,,,
,,512,0.86,,4,,,,
,,580,0.86,,21,,,,
,,509,0.86,,34,,,,
,,460,0.86,,3,,,,
,,540,0.86,,92,,,,
,,586,0.86,,5,,,,
,,504,0.83,,44,,,,
,,472,0.83,,104,,,,
,,567,0.86,,7,,,,
,,592,0.86,,2,,,,
,,501,0.86,,67,,,,
,,495,0.86,,22,,,,
,,597,0.86,,3,,,,
,,598,0.86,,98,,,,
,,509,0.86,,95,,,,
,,526,0.86,,5,,,,
,,627,0.83,,7,,,,
,,609,0.86,,137,,,,
,,529,0.86,,12,,,,
,,570,0.83,,3,,,,
,,665,0.86,,149,,,,
,,628,0.83,,37,,,,
,,556,0.86,,6,,,,
,,622,0.86,,63,,,,
,,710,0.83,,7,,,,
,,646,0.86,,94,,,,
,,589,0.83,,123,,,,
,,668,0.83,,12,,,,
,,727,0.83,,123,,,,
,,640,0.83,,10,,,,
,,590,0.83,,123,,,,
,,663,0.83,,105,,,,
,,667,0.83,,15,,,,
,,548,0.83,,87,,,,
,,506,0.83,,163,,,,
,,582,0.83,,11,,,,
,,567,0.86,,82,,,,
,,458,0.83,,137,,,,
,,450,0.83,,5,,,,
,,538,0.83,,41,,,,
,,513,0.83,,139,,,,
,,413,0.83,,61,,,,
,,442,0.75,,11,,,,
,,534,0.75,,84,,,,
,,493,0.78,,170,,,,
,,406,0.78,,62,,,,
,,460,0.75,,13,,,,
,,537,0.75,,34,,,,
,,477,0.75,,98,,,,
,,410,0.72,,126,,,,
,,484,0.75,,7,,,,
,,540,0.72,,17,,,,
,,462,0.72,,157,,,,
,,414,0.75,,15,,,,
,,505,0.72,,9,,,,
,,537,0.72,,118,,,,
,,449,0.72,,35,,,,
,,426,0.75,,6,,,,
,,522,0.72,,69,,,,
,,533,0.75,,1,,,,
,,440,0.75,,139,,,,
,,440,0.75,,4,,,,
,,537,0.72,,3,,,,
,,524,0.72,,155,,,,
,,433,0.75,,3,,,,
,,457,0.72,,25,,,,
,,549,0.72,,139,,,,
,,513,0.75,,16,,,,
,,430,0.72,,3,,,,
,,476,0.75,,84,,,,
,,556,0.75,,3,,,,
,,496,0.72,,4,,,,
,,427,0.72,,4,,,,
,,494,0.72,,4,,,,
,,552,0.75,,5,,,,
,,475,0.75,,4,,,,
,,427,0.72,,3,,,,
,,510,0.72,,4,,,,
,,549,0.72,,6,,,,
,,461,0.72,,4,,,,
,,432,0.75,,5,,,,
,,524,0.72,,5,,,,
,,542,0.75,,4,,,,
,,449,0.75,,5,,,,
,,444,0.75,,4,,,,
,,542,0.78,,5,,,,
,,534,0.75,,6,,,,
,,439,0.75,,5,,,,
,,460,0.78,,6,,,,
,,556,0.78,,4,,,,
,,525,0.75,,5,,,,
,,440,0.75,,4,,,,
,,481,0.72,,5,,,,
,,564,0.75,,5,,,,
,,510,0.75,,5,,,,
,,440,0.72,,4,,,,
,,500,0.72,,4,,,,
,,568,0.75,,6,,,,
,,496,0.75,,5,,,,
,,442,0.75,,5,,,,
,,521,0.75,,4,,,,
,,566,0.75,,4,,,,
,,480,0.75,,5,,,,
,,448,0.75,,5,,,,
,,542,0.75,,4,,,,
,,564,0.75,,5,,,,
,,471,0.75,,6,,,,
,,460,0.72,,4,,,,
,,557,0.75,,4,,,,
,,556,0.75,,6,,,,
,,464,0.75,,5,,,,
,,478,0.72,,4,,,,
,,574,0.75,,5,,,,
,,547,0.75,,5,,,,
,,461,0.75,,4,,,,
,,497,0.75,,5,,,,
,,583,0.75,,6,,,,
,,535,0.75,,5,,,,
,,461,0.72,,6,,,,
,,518,0.75,,5,,,,
,,586,0.75,,4,,,,
,,520,0.75,,4,,,,
,,464,0.75,,4,,,,
,,538,0.75,,5,,,,
,,589,0.75,,4,,,,
,,508,0.72,,6,,,,
,,472,0.75,,4,,,,
,,565,0.75,,4,,,,
,,594,0.72,,5,,,,
,,508,0.75,,4,,,,
,,499,0.72,,5,,,,
,,598,0.72,,4,,,,
,,603,0.75,,4,,,,
,,508,0.75,,5,,,,
,,508,0.75,,3,,,,
,,600,0.72,,5,,,,
,,574,0.75,,3,,,,
,,481,0.75,,3,,,,
,,511,0.75,,91,,,,
,,598,0.75,,24,,,,
,,552,0.75,,18,,,,
,,475,0.75,,73,,,,
,,528,0.75,,125,,,,
,,600,0.78,,53,,,,
,,532,0.75,,22,,,,
,,456,0.75,,26,,,,
,,510,0.75,,118,,,,
,,583,0.75,,59,,,,
,,593,0.75,,13,,,,
,,741,0.78,,84,,,,
,,1024,0.75,,91,,,,
,,1024,0.75,,26,,,,
,,778,0.75,,41,,,,
,,597,0.75,,98,,,,
,,605,0.75,,19,,,,
,,545,0.72,,38,,,,
,,477,0.75,,62,,,,
,,533,0.75,,151,,,,
,,595,0.75,,20,,,,
,,521,0.75,,88,,,,
,,460,0.78,,82,,,,
,,534,0.75,,26,,,,
,,582,0.75,,72,,,,
,,502,0.75,,74,,,,
,,468,0.75,,12,,,,
,,559,0.72,,137,,,,
,,588,0.75,,55,,,,
,,499,0.75,,15,,,,
,,486,0.72,,157,,,,
,,586,0.78,,35,,,,
,,591,0.75,,11,,,,
,,498,0.75,,130,,,,
,,509,0.72,,34,,,,
,,609,0.75,,33,,,,
,,594,0.72,,135,,,,
,,507,0.75,,13,,,,
,,540,0.75,,163,,,,
,,633,0.75,,16,,,,
,,598,0.75,,66,,,,
,,523,0.75,,33,,,,
,,581,0.78,,28,,,,
,,663,0.75,,147,,,,
,,606,0.75,,12,,,,
,,550,0.75,,137,,,,
,,629,0.78,,27,,,,
,,694,0.78,,67,,,,
,,625,0.78,,92,,,,
,,588,0.78,,16,,,,
,,679,0.78,,157,,,,
,,721,0.8,,21,,,,
,,626,0.8,,46,,,,
,,600,0.8,,159,,,,
,,688,0.8,,10,,,,
,,680,0.8,,105,,,,
,,560,0.83,,135,,,,
,,535,0.83,,22,,,,
,,608,0.83,,157,,,,
,,571,0.83,,84,,,,
,,460,0.83,,28,,,,
,,469,0.83,,104,,,,
,,550,0.86,,145,,,,
,,500,0.86,,35,,,,
,,405,0.83,,73,,,,
,,449,0.83,,125,,,,
,,526,0.83,,21,,,,
,,468,0.83,,73,,,,
,,394,0.83,,159,,,,
,,464,0.83,,26,,,,
,,524,0.83,,48,,,,
,,448,0.83,,115,,,,
,,399,0.83,,115,,,,
,,487,0.8,,29,,,,
,,525,0.8,,91,,,,
,,437,0.83,,172,,,,
,,406,0.83,,91,,,,
,,506,0.83,,24,,,,
,,523,0.83,,83,,,,
,,430,0.83,,113,,,,
,,427,0.83,,10,,,,
,,525,0.83,,149,,,,
,,519,0.83,,128,,,,
,,428,0.83,,12,,,,
,,449,0.83,,110,,,,
,,546,0.83,,179,,,,
,,513,0.83,,8,,,,
,,429,0.83,,7,,,,
,,469,0.83,,7,,,,
,,553,0.83,,8,,,,
,,500,0.83,,7,,,,
,,429,0.86,,7,,,,
,,493,0.86,,-3,,,,
,,555,0.86,,-1,,,,
,,482,0.86,,4,,,,
,,430,0.86,,5,,,,
,,509,0.86,,3,,,,
,,554,0.86,,-1,,,,
,,468,0.86,,-1,,,,
,,437,0.83,,1,,,,
,,529,0.83,,1,,,,
,,547,0.83,,0,,,,
,,456,0.83,,1,,,,
,,448,0.83,,1,,,,
,,547,0.83,,1,,,,
,,543,0.83,,3,,,,
,,449,0.83,,1,,,,
,,461,0.86,,1,,,,
,,557,0.86,,2,,,,
,,529,0.86,,1,,,,
,,441,0.83,,3,,,,
,,478,0.83,,2,,,,
,,565,0.83,,1,,,,
,,516,0.83,,3,,,,
,,442,0.83,,3,,,,
,,502,0.8,,2,,,,
,,570,0.78,,3,,,,
,,502,0.78,,2,,,,
,,447,0.78,,2,,,,
,,521,0.78,,3,,,,
,,569,0.78,,3,,,,
,,487,0.78,,3,,,,
,,449,0.78,,2,,,,
,,538,0.78,,2,,,,
,,562,0.78,,1,,,,
,,471,0.78,,3,,,,
,,458,0.78,,3,,,,
,,556,0.78,,1,,,,
,,561,0.78,,2,,,,
,,468,0.78,,2,,,,
,,475,0.78,,2,,,,
,,574,0.78,,2,,,,
,,552,0.78,,3,,,,
,,462,0.8,,3,,,,
,,492,0.8,,3,,,,
,,581,0.78,,3,,,,
,,535,0.78,,2,,,,
,,458,0.78,,2,,,,
,,508,0.78,,3,,,,
,,582,0.78,,3,,,,
,,520,0.78,,3,,,,
,,459,0.78,,2,,,,
,,529,0.78,,2,,,,
,,581,0.8,,2,,,,
,,502,0.83,,2,,,,
,,462,0.83,,3,,,,
,,550,0.8,,2,,,,
,,581,0.8,,4,,,,
,,489,0.83,,3,,,,
,,469,0.86,,3,,,,
,,567,0.86,,3,,,,
,,576,0.88,,3,,,,
,,481,0.88,,4,,,,
,,481,0.94,,3,,,,
,,581,0.94,,3,,,,
,,567,0.94,,3,,,,
,,476,0.94,,3,,,,
,,502,0.94,,3,,,,
,,597,0.97,,3,,,,
,,561,0.99,,4,,,,
,,482,0.99,,3,,,,
,,532,0.99,,2,,,,
,,615,0.97,,4,,,,
,,560,0.97,,9,,,,
,,495,0.99,,53,,,,
,,560,0.99,,43,,,,
,,613,1.02,,75,,,,
,,528,1.02,,13,,,,
,,478,1.02,,112,,,,
,,558,1.02,,18,,,,
,,595,1.02,,51,,,,
,,507,1.02,,99,,,,
,,481,1.02,,15,,,,
,,574,1.77,,40,,,,
,,589,1.79,,135,,,,
,,496,1.79,,30,,,,
,,495,1.79,,3,,,,
,,588,1.79,,95,,,,
,,558,1.79,,149,,,,
,,454,1.82,,18,,,,
,,509,1.85,,58,,,,
,,733,1.85,,120,,,,
,,924,1.85,,10,,,,
,,1024,1.85,,157,,,,
,,1024,1.87,,12,,,,
,,783,1.9,,80,,,,
,,550,1.95,,110,,,,
,,490,1.98,,9,,,,
,,586,1.98,,113,,,,
,,600,1.98,,99,,,,
,,499,1.98,,44,,,,
,,494,2.01,,155,,,,
,,586,2.01,,26,,,,
,,570,2.03,,55,,,,
,,480,2.03,,145,,,,
,,506,2.03,,20,,,,
,,595,2.06,,46,,,,
,,557,2.06,,135,,,,
,,478,2.06,,10,,,,
,,530,2.06,,126,,,,
,,609,2.06,,91,,,,
,,553,2.03,,24,,,,
,,485,2.06,,18,,,,
,,552,2.09,,73,,,,
,,610,2.09,,125,,,,
,,538,2.09,,53,,,,
,,498,2.09,,22,,,,
,,586,2.09,,26,,,,
,,625,2.11,,118,,,,
,,538,2.11,,59,,,,
,,517,2.11,,13,,,,
,,619,2.11,,84,,,,
,,642,2.11,,91,,,,
,,556,2.11,,26,,,,
,,560,2.11,,41,,,,
,,667,2.11,,98,,,,
,,666,2.11,,19,,,,
,,582,2.11,,38,,,,
,,610,2.11,,62,,,,
,,720,2.11,,151,,,,
,,693,2.11,,20,,,,
,,615,2.11,,88,,,,
,,657,2.11,,82,,,,
,,745,2.11,,26,,,,
,,681,2.11,,72,,,,
,,596,2.14,,74,,,,
,,642,2.14,,12,,,,
,,686,2.14,,137,,,,
,,586,2.11,,55,,,,
,,505,2.14,,15,,,,
,,564,2.11,,157,,,,
,,589,2.11,,35,,,,
,,487,2.11,,11,,,,
,,444,2.14,,130,,,,
,,525,2.11,,34,,,,
,,535,2.11,,33,,,,
,,436,2.11,,135,,,,
,,424,2.14,,13,,,,
,,523,2.14,,163,,,,
,,519,2.14,,16,,,,
,,428,2.14,,66,,,,
,,440,2.14,,33,,,,
,,534,2.14,,28,,,,
,,506,2.14,,147,,,,
,,416,2.14,,12,,,,
,,458,2.14,,137,,,,
,,545,2.14,,27,,,,
,,497,2.14,,67,,,,
,,426,2.14,,92,,,,
,,484,2.11,,16,,,,
,,552,2.14,,157,,,,
,,483,2.14,,21,,,,
,,427,2.11,,46,,,,
,,505,2.14,,159,,,,
