,Closing_Balance_Today,Opening_Balance_Today,Opening_Balance_This_Month,Opening_Balance_This_Fiscal_Year,Fiscal_Year,Fiscal_Quarter_Number,Calender_Year,Calender_Quarter_Number,Calender_Month_Number,Calender_Day_Number
147,269343,278023,278023,215160,2022,1,2021,4,11,1
148,278023,259761,215160,215160,2022,1,2021,4,10,29
149,259761,236495,215160,215160,2022,1,2021,4,10,28
150,236495,261071,215160,215160,2022,1,2021,4,10,27
151,261071,219868,215160,215160,2022,1,2021,4,10,26
152,219868,208815,215160,215160,2022,1,2021,4,10,25
153,208815,149154,215160,215160,2022,1,2021,4,10,22
154,149154,117364,215160,215160,2022,1,2021,4,10,21
155,117364,132525,215160,215160,2022,1,2021,4,10,20
156,132525,134768,215160,215160,2022,1,2021,4,10,19
157,134768,50846,215160,215160,2022,1,2021,4,10,18
158,50846,46508,215160,215160,2022,1,2021,4,10,15
159,46508,72460,215160,215160,2022,1,2021,4,10,14
160,72460,58993,215160,215160,2022,1,2021,4,10,13
161,58993,81803,215160,215160,2022,1,2021,4,10,12
162,81803,86339,215160,215160,2022,1,2021,4,10,8
163,86339,95854,215160,215160,2022,1,2021,4,10,7
164,95854,99385,215160,215160,2022,1,2021,4,10,6
165,99385,141318,215160,215160,2022,1,2021,4,10,5
166,141318,132452,215160,215160,2022,1,2021,4,10,4
167,132452,215160,215160,215160,2022,1,2021,4,10,1
168,215160,173745,355984,1781679,2021,4,2021,3,9,30
169,173745,172920,355984,1781679,2021,4,2021,3,9,29
170,172920,217019,355984,1781679,2021,4,2021,3,9,28
171,217019,215533,355984,1781679,2021,4,2021,3,9,27
172,215533,173922,355984,1781679,2021,4,2021,3,9,24
173,173922,272679,355984,1781679,2021,4,2021,3,9,23
174,272679,295620,355984,1781679,2021,4,2021,3,9,22
175,295620,324877,355984,1781679,2021,4,2021,3,9,21
176,324877,315003,355984,1781679,2021,4,2021,3,9,20
177,315003,317970,355984,1781679,2021,4,2021,3,9,17
178,317970,344668,355984,1781679,2021,4,2021,3,9,16
179,344668,211227,355984,1781679,2021,4,2021,3,9,15
180,211227,225075,355984,1781679,2021,4,2021,3,9,14
181,225075,208035,355984,1781679,2021,4,2021,3,9,13
182,208035,207218,355984,1781679,2021,4,2021,3,9,10
183,207218,200702,355984,1781679,2021,4,2021,3,9,9
184,200702,231654,355984,1781679,2021,4,2021,3,9,8
185,231654,262488,355984,1781679,2021,4,2021,3,9,7
186,262488,292163,355984,1781679,2021,4,2021,3,9,3
187,292163,296934,355984,1781679,2021,4,2021,3,9,2
188,296934,355984,355984,1781679,2021,4,2021,3,9,1
189,355984,262895,459402,1781679,2021,4,2021,3,8,31
190,262895,262811,459402,1781679,2021,4,2021,3,8,30
191,262811,239304,459402,1781679,2021,4,2021,3,8,27
192,239304,258200,459402,1781679,2021,4,2021,3,8,26
193,258200,284110,459402,1781679,2021,4,2021,3,8,25
194,284110,317103,459402,1781679,2021,4,2021,3,8,24
195,317103,309820,459402,1781679,2021,4,2021,3,8,23
196,309820,321137,459402,1781679,2021,4,2021,3,8,20
197,321137,313651,459402,1781679,2021,4,2021,3,8,19
198,313651,338853,459402,1781679,2021,4,2021,3,8,18
199,338853,362012,459402,1781679,2021,4,2021,3,8,17
200,362012,335190,459402,1781679,2021,4,2021,3,8,16
201,335190,351572,459402,1781679,2021,4,2021,3,8,13
202,351572,389747,459402,1781679,2021,4,2021,3,8,12
203,389747,416199,459402,1781679,2021,4,2021,3,8,11
204,416199,444212,459402,1781679,2021,4,2021,3,8,10
205,444212,442557,459402,1781679,2021,4,2021,3,8,9
206,442557,466601,459402,1781679,2021,4,2021,3,8,6
207,466601,505871,459402,1781679,2021,4,2021,3,8,5
208,505871,507848,459402,1781679,2021,4,2021,3,8,4
209,507848,555569,459402,1781679,2021,4,2021,3,8,3
210,555569,459402,459402,1781679,2021,4,2021,3,8,2
211,459402,501179,851929,1781679,2021,4,2021,3,7,30
212,501179,536966,851929,1781679,2021,4,2021,3,7,29
213,536966,564799,851929,1781679,2021,4,2021,3,7,28
214,564799,591368,851929,1781679,2021,4,2021,3,7,27
215,591368,588083,851929,1781679,2021,4,2021,3,7,26
216,588083,590042,851929,1781679,2021,4,2021,3,7,23
217,590042,616294,851929,1781679,2021,4,2021,3,7,22
218,616294,647533,851929,1781679,2021,4,2021,3,7,21
219,647533,700041,851929,1781679,2021,4,2021,3,7,20
220,700041,697581,851929,1781679,2021,4,2021,3,7,19
221,697581,690107,851929,1781679,2021,4,2021,3,7,16
222,690107,657542,851929,1781679,2021,4,2021,3,7,15
223,657542,676800,851929,1781679,2021,4,2021,3,7,14
224,676800,718474,851929,1781679,2021,4,2021,3,7,13
225,718474,718092,851929,1781679,2021,4,2021,3,7,12
226,718092,727336,851929,1781679,2021,4,2021,3,7,9
227,727336,724898,851929,1781679,2021,4,2021,3,7,8
228,724898,733889,851929,1781679,2021,4,2021,3,7,7
229,733889,757682,851929,1781679,2021,4,2021,3,7,6
230,757682,784035,851929,1781679,2021,4,2021,3,7,2
231,784035,851929,851929,1781679,2021,4,2021,3,7,1
232,851929,711267,776700,1781679,2021,3,2021,2,6,30
233,711267,734915,776700,1781679,2021,3,2021,2,6,29
234,734915,733226,776700,1781679,2021,3,2021,2,6,28
235,733226,723946,776700,1781679,2021,3,2021,2,6,25
236,723946,733877,776700,1781679,2021,3,2021,2,6,24
237,733877,744249,776700,1781679,2021,3,2021,2,6,23
238,744249,745970,776700,1781679,2021,3,2021,2,6,22
239,745970,730159,776700,1781679,2021,3,2021,2,6,21
240,730159,728246,776700,1781679,2021,3,2021,2,6,18
241,728246,765114,776700,1781679,2021,3,2021,2,6,17
242,765114,765721,776700,1781679,2021,3,2021,2,6,16
243,765721,622178,776700,1781679,2021,3,2021,2,6,15
244,622178,597051,776700,1781679,2021,3,2021,2,6,14
245,597051,633055,776700,1781679,2021,3,2021,2,6,11
246,633055,673555,776700,1781679,2021,3,2021,2,6,10
247,673555,728517,776700,1781679,2021,3,2021,2,6,9
248,728517,737590,776700,1781679,2021,3,2021,2,6,8
249,737590,740611,776700,1781679,2021,3,2021,2,6,7
250,740611,750152,776700,1781679,2021,3,2021,2,6,4
251,750152,812087,776700,1781679,2021,3,2021,2,6,3
252,812087,817789,776700,1781679,2021,3,2021,2,6,2
253,817789,776700,776700,1781679,2021,3,2021,2,6,1
254,776700,745973,970716,1781679,2021,3,2021,2,5,28
255,745973,778912,970716,1781679,2021,3,2021,2,5,27
256,778912,800118,970716,1781679,2021,3,2021,2,5,26
257,800118,824521,970716,1781679,2021,3,2021,2,5,25
258,824521,816930,970716,1781679,2021,3,2021,2,5,24
259,816930,832974,970716,1781679,2021,3,2021,2,5,21
260,832974,860833,970716,1781679,2021,3,2021,2,5,20
261,860833,896013,970716,1781679,2021,3,2021,2,5,19
262,896013,939902,970716,1781679,2021,3,2021,2,5,18
263,939902,843078,970716,1781679,2021,3,2021,2,5,17
264,843078,836852,970716,1781679,2021,3,2021,2,5,14
265,836852,864253,970716,1781679,2021,3,2021,2,5,13
266,864253,885779,970716,1781679,2021,3,2021,2,5,12
267,885779,911337,970716,1781679,2021,3,2021,2,5,11
268,911337,906936,970716,1781679,2021,3,2021,2,5,10
269,906936,909277,970716,1781679,2021,3,2021,2,5,7
270,909277,946134,970716,1781679,2021,3,2021,2,5,6
271,946134,945860,970716,1781679,2021,3,2021,2,5,5
272,945860,968663,970716,1781679,2021,3,2021,2,5,4
273,968663,970716,970716,1781679,2021,3,2021,2,5,3
274,970716,903015,1121951,1781679,2021,3,2021,2,4,30
275,903015,932287,1121951,1781679,2021,3,2021,2,4,29
276,932287,958871,1121951,1781679,2021,3,2021,2,4,28
277,958871,982206,1121951,1781679,2021,3,2021,2,4,27
278,982206,974621,1121951,1781679,2021,3,2021,2,4,26
279,974621,976597,1121951,1781679,2021,3,2021,2,4,23
280,976597,1003443,1121951,1781679,2021,3,2021,2,4,22
281,1003443,1018382,1121951,1781679,2021,3,2021,2,4,21
282,1018382,1032722,1121951,1781679,2021,3,2021,2,4,20
283,1032722,1015480,1121951,1781679,2021,3,2021,2,4,19
284,1015480,1010328,1121951,1781679,2021,3,2021,2,4,16
285,1010328,921685,1121951,1781679,2021,3,2021,2,4,15
286,921685,924784,1121951,1781679,2021,3,2021,2,4,14
287,924784,932525,1121951,1781679,2021,3,2021,2,4,13
288,932525,923929,1121951,1781679,2021,3,2021,2,4,12
289,923929,924880,1121951,1781679,2021,3,2021,2,4,9
290,924880,954968,1121951,1781679,2021,3,2021,2,4,8
291,954968,994366,1121951,1781679,2021,3,2021,2,4,7
292,994366,1016158,1121951,1781679,2021,3,2021,2,4,6
293,1016158,1019804,1121951,1781679,2021,3,2021,2,4,5
294,1019804,1045816,1121951,1781679,2021,3,2021,2,4,2
295,1045816,1121951,1121951,1781679,2021,3,2021,2,4,1
296,1121951,1003516,1414465,1781679,2021,2,2021,1,3,31
297,1003516,1019013,1414465,1781679,2021,2,2021,1,3,30
298,1019013,1013861,1414465,1781679,2021,2,2021,1,3,29
299,1013861,994029,1414465,1781679,2021,2,2021,1,3,26
300,994029,1031908,1414465,1781679,2021,2,2021,1,3,25
301,1031908,1101256,1414465,1781679,2021,2,2021,1,3,24
302,1101256,1054770,1414465,1781679,2021,2,2021,1,3,23
303,1054770,1058913,1414465,1781679,2021,2,2021,1,3,22
304,1058913,1063289,1414465,1781679,2021,2,2021,1,3,19
305,1063289,1089501,1414465,1781679,2021,2,2021,1,3,18
306,1089501,1361274,1414465,1781679,2021,2,2021,1,3,17
307,1361274,1379152,1414465,1781679,2021,2,2021,1,3,16
308,1379152,1269979,1414465,1781679,2021,2,2021,1,3,15
309,1269979,1268214,1414465,1781679,2021,2,2021,1,3,12
310,1268214,1310273,1414465,1781679,2021,2,2021,1,3,11
311,1310273,1349174,1414465,1781679,2021,2,2021,1,3,10
312,1349174,1373951,1414465,1781679,2021,2,2021,1,3,9
313,1373951,1368265,1414465,1781679,2021,2,2021,1,3,8
314,1368265,1382253,1414465,1781679,2021,2,2021,1,3,5
315,1382253,1420238,1414465,1781679,2021,2,2021,1,3,4
316,1420238,1462558,1414465,1781679,2021,2,2021,1,3,3
317,1462558,1500687,1414465,1781679,2021,2,2021,1,3,2
318,1500687,1414465,1414465,1781679,2021,2,2021,1,3,1
319,1414465,1379961,1611352,1781679,2021,2,2021,1,2,26
320,1379961,1439646,1611352,1781679,2021,2,2021,1,2,25
321,1439646,1480606,1611352,1781679,2021,2,2021,1,2,24
322,1480606,1550121,1611352,1781679,2021,2,2021,1,2,23
323,1550121,1557254,1611352,1781679,2021,2,2021,1,2,22
324,1557254,1567702,1611352,1781679,2021,2,2021,1,2,19
325,1567702,1568893,1611352,1781679,2021,2,2021,1,2,18
326,1568893,1595279,1611352,1781679,2021,2,2021,1,2,17
327,1595279,1560063,1611352,1781679,2021,2,2021,1,2,16
328,1560063,1564862,1611352,1781679,2021,2,2021,1,2,12
329,1564862,1576744,1611352,1781679,2021,2,2021,1,2,11
330,1576744,1603403,1611352,1781679,2021,2,2021,1,2,10
331,1603403,1619357,1611352,1781679,2021,2,2021,1,2,9
332,1619357,1613958,1611352,1781679,2021,2,2021,1,2,8
333,1613958,1620963,1611352,1781679,2021,2,2021,1,2,5
334,1620963,1629729,1611352,1781679,2021,2,2021,1,2,4
335,1629729,1654919,1611352,1781679,2021,2,2021,1,2,3
336,1654919,1664596,1611352,1781679,2021,2,2021,1,2,2
337,1664596,1611352,1611352,1781679,2021,2,2021,1,2,1
338,1611352,1593973,1728569,1781679,2021,2,2021,1,1,29
339,1593973,1613377,1728569,1781679,2021,2,2021,1,1,28
340,1613377,1631783,1728569,1781679,2021,2,2021,1,1,27
341,1631783,1641392,1728569,1781679,2021,2,2021,1,1,26
342,1641392,1636166,1728569,1781679,2021,2,2021,1,1,25
343,1636166,1639728,1728569,1781679,2021,2,2021,1,1,22
344,1639728,1638331,1728569,1781679,2021,2,2021,1,1,21
345,1638331,1652048,1728569,1781679,2021,2,2021,1,1,20
346,1652048,1630897,1728569,1781679,2021,2,2021,1,1,19
347,1630897,1574375,1728569,1781679,2021,2,2021,1,1,15
348,1574375,1575875,1728569,1781679,2021,2,2021,1,1,14
349,1575875,1592556,1728569,1781679,2021,2,2021,1,1,13
350,1592556,1601940,1728569,1781679,2021,2,2021,1,1,12
351,1601940,1592940,1728569,1781679,2021,2,2021,1,1,11
352,1592940,1576756,1728569,1781679,2021,2,2021,1,1,8
353,1576756,1607396,1728569,1781679,2021,2,2021,1,1,7
354,1607396,1600257,1728569,1781679,2021,2,2021,1,1,6
355,1600257,1563361,1728569,1781679,2021,2,2021,1,1,5
356,1563361,1728569,1728569,1781679,2021,2,2021,1,1,4
357,1728569,1613514,1622986,1781679,2021,1,2020,4,12,31
358,1613514,1606627,1622986,1781679,2021,1,2020,4,12,30
359,1606627,1611761,1622986,1781679,2021,1,2020,4,12,29
360,1611761,1576370,1622986,1781679,2021,1,2020,4,12,28
361,1576370,1583308,1622986,1781679,2021,1,2020,4,12,24
362,1583308,1603478,1622986,1781679,2021,1,2020,4,12,23
363,1603478,1609289,1622986,1781679,2021,1,2020,4,12,22
364,1609289,1605924,1622986,1781679,2021,1,2020,4,12,21
365,1605924,1603000,1622986,1781679,2021,1,2020,4,12,18
366,1603000,1615873,1622986,1781679,2021,1,2020,4,12,17
367,1615873,1620613,1622986,1781679,2021,1,2020,4,12,16
368,1620613,1507694,1622986,1781679,2021,1,2020,4,12,15
369,1507694,1491532,1622986,1781679,2021,1,2020,4,12,14
370,1491532,1489111,1622986,1781679,2021,1,2020,4,12,11
371,1489111,1502361,1622986,1781679,2021,1,2020,4,12,10
372,1502361,1528113,1622986,1781679,2021,1,2020,4,12,9
373,1528113,1542507,1622986,1781679,2021,1,2020,4,12,8
374,1542507,1541553,1622986,1781679,2021,1,2020,4,12,7
375,1541553,1542061,1622986,1781679,2021,1,2020,4,12,4
376,1542061,1557239,1622986,1781679,2021,1,2020,4,12,3
377,1557239,1559909,1622986,1781679,2021,1,2020,4,12,2
378,1559909,1622986,1622986,1781679,2021,1,2020,4,12,1
379,1622986,1497733,1598798,1781679,2021,1,2020,4,11,30
380,1497733,1484036,1598798,1781679,2021,1,2020,4,11,27
381,1484036,1508389,1598798,1781679,2021,1,2020,4,11,25
382,1508389,1524043,1598798,1781679,2021,1,2020,4,11,24
383,1524043,1523945,1598798,1781679,2021,1,2020,4,11,23
384,1523945,1532201,1598798,1781679,2021,1,2020,4,11,20
385,1532201,1546924,1598798,1781679,2021,1,2020,4,11,19
386,1546924,1562437,1598798,1781679,2021,1,2020,4,11,18
387,1562437,1583700,1598798,1781679,2021,1,2020,4,11,17
388,1583700,1548695,1598798,1781679,2021,1,2020,4,11,16
389,1548695,1559098,1598798,1781679,2021,1,2020,4,11,13
390,1559098,1570768,1598798,1781679,2021,1,2020,4,11,12
391,1570768,1613526,1598798,1781679,2021,1,2020,4,11,10
392,1613526,1611360,1598798,1781679,2021,1,2020,4,11,9
393,1611360,1616716,1598798,1781679,2021,1,2020,4,11,6
394,1616716,1618568,1598798,1781679,2021,1,2020,4,11,5
395,1618568,1618498,1598798,1781679,2021,1,2020,4,11,4
396,1618498,1668478,1598798,1781679,2021,1,2020,4,11,3
397,1668478,1598798,1598798,1781679,2021,1,2020,4,11,2
398,1598798,1647480,1781679,1781679,2021,1,2020,4,10,30
399,1647480,1653039,1781679,1781679,2021,1,2020,4,10,29
400,1653039,1673293,1781679,1781679,2021,1,2020,4,10,28
401,1673293,1690216,1781679,1781679,2021,1,2020,4,10,27
402,1690216,1687789,1781679,1781679,2021,1,2020,4,10,26
403,1687789,1686614,1781679,1781679,2021,1,2020,4,10,23
404,1686614,1699497,1781679,1781679,2021,1,2020,4,10,22
405,1699497,1718520,1781679,1781679,2021,1,2020,4,10,21
406,1718520,1736903,1781679,1781679,2021,1,2020,4,10,20
407,1736903,1731394,1781679,1781679,2021,1,2020,4,10,19
408,1731394,1724441,1781679,1781679,2021,1,2020,4,10,16
409,1724441,1647937,1781679,1781679,2021,1,2020,4,10,15
410,1647937,1672917,1781679,1781679,2021,1,2020,4,10,14
411,1672917,1688155,1781679,1781679,2021,1,2020,4,10,13
412,1688155,1693511,1781679,1781679,2021,1,2020,4,10,9
413,1693511,1687434,1781679,1781679,2021,1,2020,4,10,8
414,1687434,1682129,1781679,1781679,2021,1,2020,4,10,7
415,1682129,1699085,1781679,1781679,2021,1,2020,4,10,6
416,1699085,1696491,1781679,1781679,2021,1,2020,4,10,5
417,1696491,1721399,1781679,1781679,2021,1,2020,4,10,2
418,1721399,1781679,1781679,1781679,2021,1,2020,4,10,1
419,1781679,1655158,1705982,382483,2020,4,2020,3,9,30
420,1655158,1667836,1705982,382483,2020,4,2020,3,9,29
421,1667836,1666330,1705982,382483,2020,4,2020,3,9,28
422,1666330,1650402,1705982,382483,2020,4,2020,3,9,25
423,1650402,1661732,1705982,382483,2020,4,2020,3,9,24
424,1661732,1672796,1705982,382483,2020,4,2020,3,9,23
425,1672796,1689647,1705982,382483,2020,4,2020,3,9,22
426,1689647,1684759,1705982,382483,2020,4,2020,3,9,21
427,1684759,1686360,1705982,382483,2020,4,2020,3,9,18
428,1686360,1692809,1705982,382483,2020,4,2020,3,9,17
429,1692809,1691058,1705982,382483,2020,4,2020,3,9,16
430,1691058,1596094,1705982,382483,2020,4,2020,3,9,15
431,1596094,1581016,1705982,382483,2020,4,2020,3,9,14
432,1581016,1580972,1705982,382483,2020,4,2020,3,9,11
433,1580972,1570533,1705982,382483,2020,4,2020,3,9,10
434,1570533,1591491,1705982,382483,2020,4,2020,3,9,9
435,1591491,1621785,1705982,382483,2020,4,2020,3,9,8
436,1621785,1628420,1705982,382483,2020,4,2020,3,9,4
437,1628420,1651823,1705982,382483,2020,4,2020,3,9,3
438,1651823,1652933,1705982,382483,2020,4,2020,3,9,2
439,1652933,1705982,1705982,382483,2020,4,2020,3,9,1
440,1705982,1620187,1763090,382483,2020,4,2020,3,8,31
441,1620187,1602817,1763090,382483,2020,4,2020,3,8,28
442,1602817,1607449,1763090,382483,2020,4,2020,3,8,27
443,1607449,1629281,1763090,382483,2020,4,2020,3,8,26
444,1629281,1627631,1763090,382483,2020,4,2020,3,8,25
445,1627631,1621385,1763090,382483,2020,4,2020,3,8,24
446,1621385,1630312,1763090,382483,2020,4,2020,3,8,21
447,1630312,1636393,1763090,382483,2020,4,2020,3,8,20
448,1636393,1655467,1763090,382483,2020,4,2020,3,8,19
449,1655467,1663881,1763090,382483,2020,4,2020,3,8,18
450,1663881,1635886,1763090,382483,2020,4,2020,3,8,17
451,1635886,1641133,1763090,382483,2020,4,2020,3,8,14
452,1641133,1635143,1763090,382483,2020,4,2020,3,8,13
453,1635143,1654869,1763090,382483,2020,4,2020,3,8,12
454,1654869,1676455,1763090,382483,2020,4,2020,3,8,11
455,1676455,1678144,1763090,382483,2020,4,2020,3,8,10
456,1678144,1687233,1763090,382483,2020,4,2020,3,8,7
457,1687233,1706637,1763090,382483,2020,4,2020,3,8,6
458,1706637,1708214,1763090,382483,2020,4,2020,3,8,5
459,1708214,1745136,1763090,382483,2020,4,2020,3,8,4
460,1745136,1763090,1763090,382483,2020,4,2020,3,8,3
461,1763090,1767341,1722032,382483,2020,4,2020,3,7,31
462,1767341,1792434,1722032,382483,2020,4,2020,3,7,30
463,1792434,1795511,1722032,382483,2020,4,2020,3,7,29
