Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
05-03-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,3,5
04-03-2021,Federal Reserve Account,1382253,1420238,1414465,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,3,4
04-03-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,3,4
04-03-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,3,4
03-03-2021,Federal Reserve Account,1420238,1462558,1414465,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,3,3
03-03-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,3,3
03-03-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,3,3
02-03-2021,Federal Reserve Account,1462558,1500687,1414465,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,3,2
02-03-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,3,2
02-03-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,3,2
01-03-2021,Federal Reserve Account,1500687,1414465,1414465,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,3,1
01-03-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,3,1
01-03-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,3,1
26-02-2021,Federal Reserve Account,1414465,1379961,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,26
26-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,26
26-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,26
25-02-2021,Federal Reserve Account,1379961,1439646,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,25
25-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,25
25-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,25
24-02-2021,Federal Reserve Account,1439646,1480606,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,24
24-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,24
24-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,24
23-02-2021,Federal Reserve Account,1480606,1550121,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,23
23-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,23
23-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,23
22-02-2021,Federal Reserve Account,1550121,1557254,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,22
22-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,22
22-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,22
19-02-2021,Federal Reserve Account,1557254,1567702,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,19
19-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,19
19-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,19
18-02-2021,Federal Reserve Account,1567702,1568893,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,18
18-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,18
18-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,18
17-02-2021,Federal Reserve Account,1568893,1595279,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,17
17-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,17
17-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,17
16-02-2021,Federal Reserve Account,1595279,1560063,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,16
16-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,16
16-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,16
12-02-2021,Federal Reserve Account,1560063,1564862,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,12
12-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,12
12-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,12
11-02-2021,Federal Reserve Account,1564862,1576744,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,11
11-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,11
11-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,11
10-02-2021,Federal Reserve Account,1576744,1603403,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,10
10-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,10
10-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,10
09-02-2021,Federal Reserve Account,1603403,1619357,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,9
09-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,9
09-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,9
08-02-2021,Federal Reserve Account,1619357,1613958,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,8
08-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,8
08-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,8
05-02-2021,Federal Reserve Account,1613958,1620963,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,5
05-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,5
05-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,5
04-02-2021,Federal Reserve Account,1620963,1629729,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,4
04-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,4
04-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,4
03-02-2021,Federal Reserve Account,1629729,1654919,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,3
03-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,3
03-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,3
02-02-2021,Federal Reserve Account,1654919,1664596,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,2
02-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,2
02-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,2
01-02-2021,Federal Reserve Account,1664596,1611352,1611352,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,2,1
01-02-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,2,1
01-02-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,2,1
29-01-2021,Federal Reserve Account,1611352,1593973,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,29
29-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,29
29-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,29
28-01-2021,Federal Reserve Account,1593973,1613377,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,28
28-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,28
28-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,28
27-01-2021,Federal Reserve Account,1613377,1631783,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,27
27-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,27
27-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,27
