Record Date,Type of Account,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
26-01-2021,Federal Reserve Account,1631783,1641392,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,26
26-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,26
26-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,26
25-01-2021,Federal Reserve Account,1641392,1636166,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,25
25-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,25
25-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,25
22-01-2021,Federal Reserve Account,1636166,1639728,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,22
22-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,22
22-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,22
21-01-2021,Federal Reserve Account,1639728,1638331,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,21
21-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,21
21-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,21
20-01-2021,Federal Reserve Account,1638331,1652048,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,20
20-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,20
20-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,20
19-01-2021,Federal Reserve Account,1652048,1630897,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,19
19-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,19
19-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,19
15-01-2021,Federal Reserve Account,1630897,1574375,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,15
15-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,15
15-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,15
14-01-2021,Federal Reserve Account,1574375,1575875,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,14
14-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,14
14-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,14
13-01-2021,Federal Reserve Account,1575875,1592556,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,13
13-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,13
13-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,13
12-01-2021,Federal Reserve Account,1592556,1601940,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,12
12-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,12
12-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,12
11-01-2021,Federal Reserve Account,1601940,1592940,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,11
11-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,11
11-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,11
08-01-2021,Federal Reserve Account,1592940,1576756,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,8
08-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,8
08-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,8
07-01-2021,Federal Reserve Account,1576756,1607396,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,7
07-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,7
07-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,7
06-01-2021,Federal Reserve Account,1607396,1600257,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,6
06-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,6
06-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,6
05-01-2021,Federal Reserve Account,1600257,1563361,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,5
05-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,5
05-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,5
04-01-2021,Federal Reserve Account,1563361,1728569,1728569,1781679,I,Operating Cash Balance,Type of account,1,2021,2,2021,1,1,4
04-01-2021,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,2,2021,1,1,4
04-01-2021,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,2,2021,1,1,4
31-12-2020,Federal Reserve Account,1728569,1613514,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,31
31-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,31
31-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,31
30-12-2020,Federal Reserve Account,1613514,1606627,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,30
30-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,30
30-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,30
29-12-2020,Federal Reserve Account,1606627,1611761,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,29
29-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,29
29-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,29
28-12-2020,Federal Reserve Account,1611761,1576370,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,28
28-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,28
28-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,28
24-12-2020,Federal Reserve Account,1576370,1583308,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,24
24-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,24
24-12-2020,Short-Term Cash Investments (Table V),0,0,0,0,I,Operating Cash Balance,Type of account,3,2021,1,2020,4,12,24
23-12-2020,Federal Reserve Account,1583308,1603478,1622986,1781679,I,Operating Cash Balance,Type of account,1,2021,1,2020,4,12,23
23-12-2020,Supplementary Financing Program Account,0,0,0,0,I,Operating Cash Balance,Type of account,2,2021,1,2020,4,12,23
