"","Closing_Balance_Today","Opening_Balance_Today","Opening_Balance_This_Month","Opening_Balance_This_Fiscal_Year","Fiscal_Year","Fiscal_Quarter_Number","Calender_Year","Calender_Quarter_Number","Calender_Month_Number","Calender_Day_Number"
"47",613896.981563831,606983.351610929,688789.293669341,220861.190965204,2022.03281717199,2.00726535133055,5.98528690660252,1.19738641289195,2.38799042994639,24.976537725407
"48",611246.747146579,604841.407591291,687255.352459182,221083.332807496,2022.03297122531,2.0073604043886,5.98554047688915,1.19708339808341,2.38901769861594,23.9739239736238
"49",626177.953209285,620207.302160735,702182.846475459,220391.695160021,2022.03108308142,2.00669229634525,5.98357705159549,1.19671641564222,2.3887216801119,22.9756565247819
"50",643317.592716493,637770.358873838,719170.002797512,219447.527392504,2022.02894174217,2.00589969543817,5.98132805248081,1.19635445420674,2.38828496716063,21.9801364977562
"51",648001.788525182,642928.763719526,724489.783921341,219058.874257426,2022.02824940193,2.00562866040412,5.98064493816023,1.19604651549063,2.3888027470588,20.983005226652
"52",645726.901184135,642149.210761009,725179.15470264,219037.606139725,2022.02806176805,2.00558582635408,5.98066971437048,1.19515404106073,2.39153012604331,17.9828431187209
"53",644944.072798651,641864.483030527,725384.191947778,219001.411583515,2022.02800280711,2.0055662987249,5.98067950220172,1.1948595183382,2.39244672851799,16.9832685494761
"54",646355.0331033,643765.516895248,727647.881825422,218929.849896322,2022.02768712305,2.00546789283273,5.98041670652813,1.19454955893794,2.39318363802224,15.9829792875508
"55",626938.670681647,624919.81357533,710384.671609838,219491.721862594,2022.02980151645,2.00618020858585,5.9827570839941,1.19435793842719,2.39557135140288,14.9847179052279
"56",596615.659283211,595220.115446912,682937.524031799,221096.054971815,2022.03317129548,2.0074648039966,5.98649726592608,1.19416092219704,2.39869183453496,13.9761593754721
"57",586272.116381146,586406.252822814,676074.509369254,221532.749226705,2022.03391995504,2.00778023093155,5.9875414763356,1.19329414574995,2.40201935699554,10.9733856988481
"58",608462.152595111,609004.476070866,697813.928083526,220728.076692677,2022.03118226677,2.00685195864622,5.98467632936549,1.19287570826161,2.40112802953043,9.97268972844833
"59",644258.129169393,645145.391856834,732267.439777395,218788.683821901,2022.02687449222,2.00524422185082,5.98007347449771,1.19244829274049,2.39929186602496,8.98219052543969
"60",666242.498064497,667533.451722754,753792.914290299,217630.480091535,2022.02416949406,2.00424917411554,5.97721550632327,1.19206512504271,2.39848351096859,7.98726461780682
"61",670336.648498646,672102.870334995,758554.607286779,217176.562355187,2022.02354800933,2.00398381199298,5.97660185590628,1.19176842570643,2.39906347811677,6.99152064405265
"62",664727.015672286,668003.215620991,756124.395755172,217375.074913025,2022.02374660495,2.00409538663325,5.97704953143482,1.19088368069324,2.40203324110692,3.98979163486262
"63",673794.046349976,677529.335430801,765560.691016404,216978.105207113,2022.02253986715,2.00367972315671,5.9758250496406,1.1905389931751,2.40218047125517,2.99023619733725
